Fecha;Despachados;Picados
22/05/2020;161004;150232
2/03/2022;149734;150257
8/01/2021;156216;150276
31/03/2022;148670;150308
13/05/2023;173851;150346
24/05/2023;164116;150598
13/10/2020;143100;150600
20/05/2020;174236;150643
27/04/2021;150387;150649
26/05/2023;145399;150663
3/06/2022;171900;150799
27/05/2023;172158;150842
29/05/2023;172959;150842
7/09/2020;134283;150910
28/10/2020;130722;150969
6/05/2023;198907;151004
2/12/2020;133228;151021
29/10/2020;146239;151047
18/06/2021;162197;151229
12/05/2020;175187;151325
12/04/2021;144758;151499
21/06/2023;171462;151499
2/04/2022;226684;151548
2/05/2020;140379;151606
19/04/2022;157027;151655
19/05/2023;189913;151656
9/11/2020;121153;151710
2/09/2022;169561;151757
25/02/2023;164753;151802
1/07/2022;201972;151857
29/03/2022;164684;151935
1/03/2023;156422;151969
14/05/2020;136239;151973
3/09/2022;157653;152025
15/05/2021;141168;152028
19/05/2020;141732;152240
28/01/2022;185620;152280
9/09/2021;177201;152336
19/02/2022;149826;152417
15/07/2021;154286;152420
29/05/2020;137072;152449
3/01/2022;129198;152459
16/09/2021;173940;152522
31/03/2021;166002;152568
25/11/2020;147350;152600
23/04/2020;133476;152652
11/03/2022;167235;152656
19/10/2021;146872;152744
7/06/2021;147740;152825
22/09/2021;156738;152895
4/03/2022;146128;152987
22/10/2021;159881;153082
28/08/2020;141312;153087
5/01/2022;160584;153112
23/05/2020;149798;153228
2/06/2020;156970;153446
5/07/2022;158466;153588
5/10/2020;139236;153597
7/07/2021;148964;153731
15/04/2023;174721;153799
3/02/2022;171959;153829
16/05/2023;148826;153830
9/04/2022;172868;153881
29/10/2021;165661;153954
5/08/2020;147295;154028
14/01/2021;159831;154037
3/01/2023;171650;154190
9/06/2020;170467;154193
15/06/2023;174138;154437
3/07/2020;178131;154584
28/09/2020;134443;154698
6/10/2021;168031;154723
18/04/2022;153838;154773
15/10/2020;149950;154778
26/05/2020;151123;154790
8/04/2021;162643;154908
11/02/2022;176424;154984
17/08/2022;163939;155005
3/03/2022;155030;155087
21/05/2020;145341;155193
4/08/2020;151448;155239
16/04/2022;151525;155290
12/07/2021;149849;155584
3/07/2021;144243;155629
13/01/2021;141373;155643
20/11/2021;165144;155720
29/01/2022;166077;155881
6/11/2021;185133;155887
4/10/2022;152774;155968
20/08/2022;179172;156150
28/06/2023;181827;156245
26/10/2020;124475;156265
15/05/2020;133028;156290
1/02/2023;202269;156347
7/08/2023;162004;156387
3/08/2020;139251;156389
6/07/2020;145279;156419
11/06/2021;181599;156430
26/06/2021;154292;156434
1/10/2021;163540;156483
2/03/2023;175969;156543
23/03/2023;192074;156685
9/06/2023;179649;156702
8/03/2022;141935;156748
9/03/2022;161779;156967
20/04/2021;171610;156974
22/02/2022;143358;157004
27/08/2022;174497;157011
20/04/2022;158469;157027
2/11/2020;123791;157039
5/08/2022;183666;157039
22/07/2022;176036;157087
21/04/2021;169814;157092
27/08/2020;140879;157183
10/01/2022;163242;157212
7/03/2022;140569;157222
23/10/2021;174610;157461
27/05/2022;153895;157492
30/05/2020;175873;157499
29/03/2021;166817;157500
20/09/2021;149386;157637
2/08/2022;139720;157779
13/04/2021;133212;157783
8/06/2023;149473;157844
20/04/2023;172341;157874
22/12/2020;155381;157923
11/08/2022;177823;157943
23/07/2022;171875;158052
3/05/2021;132266;158063
15/04/2022;154776;158076
26/05/2022;188732;158079
14/07/2022;183508;158085
14/03/2022;143578;158087
9/07/2020;144829;158108
10/08/2020;146344;158132
10/07/2020;141338;158269
8/02/2022;167028;158292
20/11/2020;158084;158493
15/05/2023;173514;158516
26/11/2020;154598;158686
25/05/2020;141347;158701
11/08/2020;149379;158736
19/04/2021;141040;158777
14/05/2021;175951;158862
12/02/2022;168727;158993
2/08/2021;168220;159021
13/07/2020;129286;159083
15/07/2020;156484;159159
5/10/2021;165680;159255
7/07/2022;167729;159349
16/07/2021;174282;159368
28/02/2022;136294;159430
30/09/2022;181405;159448
18/08/2022;158636;159514
10/06/2020;157891;159542
30/05/2023;182584;159660
17/02/2022;172181;159673
13/08/2021;170081;159727
6/10/2020;162272;159728
21/01/2023;154941;159868
4/02/2022;107856;159896
9/01/2021;137977;159951
21/01/2021;149029;160086
26/04/2021;159679;160105
14/10/2022;183244;160109
5/05/2020;176677;160112
13/07/2023;179885;160137
14/04/2021;180445;160168
30/10/2020;140290;160212
22/08/2020;122679;160310
29/10/2022;166477;160588
3/06/2020;127849;160589
21/03/2022;145962;160603
7/07/2023;161504;160670
7/04/2021;167378;160690
2/02/2023;154096;160699
29/04/2021;160358;160703
15/04/2021;161931;160704
6/01/2021;179315;160725
24/09/2021;180527;160787
5/08/2023;191392;160789
10/09/2022;159091;160809
14/11/2020;189959;160827
22/01/2022;167958;160879
29/07/2020;135187;161008
8/01/2022;174210;161073
17/10/2022;154359;161076
21/09/2021;150792;161183
21/05/2022;167419;161264
20/06/2020;150374;161353
1/06/2023;175674;161434
9/04/2021;150560;161557
24/01/2023;181014;161744
16/08/2022;150793;161773
12/09/2022;159892;161813
21/09/2022;176261;161928
25/03/2023;162035;161980
13/06/2022;151094;162079
17/07/2023;173852;162242
6/11/2020;153587;162280
12/08/2020;164128;162296
4/06/2021;175599;162397
25/06/2021;167140;162430
30/03/2021;158038;162444
16/11/2020;144360;162476
10/08/2021;171428;162540
23/08/2022;174951;162837
6/07/2022;151088;162911
7/03/2023;154070;162952
15/10/2022;145653;163143
7/09/2022;169405;163180
3/12/2020;132649;163212
11/10/2022;171375;163214
12/05/2021;169718;163241
10/11/2020;179506;163258
16/07/2022;178214;163338
17/05/2021;141168;163417
